Store,Sum_Dry_Grocery,Sum_Dairy,Sum_Frozen_Food,Sum_Meat,Sum_Produce,Sum_Floral,Sum_Deli,Sum_Bakery,Sum_General_Merchandise,Address,City,State,Zip,Total_Sales,Percentag_Dry_Grocery,Percentage_General_Merchandise,Percentage_Frozen_Food,Percentage_Meat,Perentage_Produce,Percentage_Floral,Percentage_Deli,Percentage_Bakery,Percentage_Dairy,Cluster
S0001,42064059.94,9450377.85,6954209.02000001,9533273.41999999,8872603.92,586369,4070729.76,3230634.02,6192090.38000001,1000 W El Norte Pkwy,Escondido,CA,92027,90954347.31,0.462474430129578,6.80791030130257e-02,7.64582367492337e-02,0.104813829156596,9.7550080698831e-02,6.44684962667564e-03,4.47557470356609e-02,3.55192919914979e-02,0.103902431598901,2
S0002,30600957.76,7142897.44999999,5238108.36000001,7631881.68000001,6802507.52999999,489242.17,2725253.08,1985089.86,4239400.41,12419 Woodside Ave,Lakeside,CA,92040,66855338.3,0.457718987565126,6.34115467485414e-02,7.83498893759994e-02,0.114155157599435,0.101749653849257,7.31792228474896e-03,4.07634326487284e-02,2.96923164324187e-02,0.106841093495745,2
S0003,49636504.43,12381812.05,8228314.47,13661779.01,14875786.55,1135969.2,5037353.72,4391482.48999999,9732472.21,1342 N Alvarado St,Los Angeles,CA,90026,119081474.13,0.416828098515243,0.08172952410192,6.9098191218369e-02,0.114726317504985,0.124921081626519,9.53942843166246e-03,4.23017413649144e-02,3.68779654609067e-02,0.10397765177548,1
S0004,52079009.43,11543006.64,9265119.32,15196676.82,12466176.74,785622.26,5251321.8,4243006.27,7311789.9,671 S Rancho Santa Fe Rd,San Marcos,CA,92078,118141729.18,0.44081807327073,6.18899854501012e-02,7.84237659657387e-02,0.12863089888287,0.105518827483951,6.64982868841399e-03,4.44493392508173e-02,3.59145434847613e-02,9.77047375226169e-02,2
S0005,50244886.89,12299653.85,9805128.17000001,12040415.65,15069995.12,1035975.66,4133189.2,2675108.98,7631172.12000001,1430 S Fairfax Ave,Los Angeles,CA,90019,114935525.64,0.437157150586987,6.63952427024374e-02,8.53098127441601e-02,0.104757998738466,0.131116946097259,9.01353740918078e-03,3.5960937029565e-02,2.32748661921898e-02,0.107013508499755,1
S0006,60732970.96,13227572.14,9722039.46000001,14237301.66,13514265.09,1097310.02,6362363.21000001,4727523.03000001,9093128.4,9643 Mission Gorge Rd,Santee,CA,92071,132714473.97,0.457621306427577,6.85164784818836e-02,7.32553064422926e-02,0.107277685953217,0.101829624800795,8.26820155462505e-03,4.79402360547216e-02,3.56217591690011e-02,9.9669401115888e-02,2
S0007,54985573.25,13043179.1,10690699.41,14753637.2,13230550.97,1008108.68,6108772.10999999,3728316.24,8007803.93,820 Arneill Rd,Camarillo,CA,93010,125556640.89,0.437934408409132,6.37784180369689e-02,8.51464274149076e-02,0.117505829205208,0.105375158782651,8.0291147712625e-03,4.86535165858083e-02,2.96942974387661e-02,0.103882829355296,2
S0008,47503118.38,12256450.28,8824424.79000001,11963375.18,13895512.59,917509.000000001,3757362.23,2647447.29999999,10041509.39,3461 W 3rd St,Los Angeles,CA,90020,111806709.14,0.424868227903197,8.98113312451261e-02,7.89257179455162e-02,0.107000512509674,0.124281563216395,8.20620700723005e-03,3.36058744497629e-02,2.36787874391774e-02,0.109621778283922,1
S0009,63552611.7600001,14616500.95,11046605.11,17311374.56,15130540.61,1026823.95,6743221.63,3815573.53,11466227.43,4033 W Avenue L,Lancaster,CA,93536,144709479.53,0.43917379819492,7.92361873406013e-02,7.63364303836771e-02,0.119628476422038,0.1045580473314,7.09576147557858e-03,4.65983407023591e-02,2.63671291085598e-02,0.101005829040867,2
S0010,37182102.92,10056748.76,6886316.52000001,9347866.75,10564649.69,935448.159999999,3340860.43,3289952.57,5115669.08000001,1040 Coast Village Rd,Montecito,CA,93108,86719614.88,0.428762316016411,5.8990910961481e-02,7.94089841096399e-02,0.107794145107024,0.121825376007712,1.0787042369762e-02,3.85248531675674e-02,3.79378134295516e-02,0.115968558830851,1
S0011,38287486.91,8098257.14,5941819.28000001,10359344.08,8601457.55,670105.66,4218086.22,2834784.94,6154235.13,3251 De Forest Cir Ste A,Mira Loma,CA,91752,85165576.91,0.449565285637188,7.22620024813966e-02,6.97678509978171e-02,0.121637690436212,0.100996879984618,7.86826889822098e-03,4.95280648947816e-02,3.32855719746453e-02,9.5088384695121e-02,2
S0012,88547790.8,19134568.36,14143994.94,21739196.2,18284591.25,1287155.62,8583628.05999999,3494977,15759944.8,1124 W Ocean Ave,Lompoc,CA,93436,190975847.03,0.463659631189331,8.25232355038295e-02,7.40616950256444e-02,0.113832175838367,9.57429514483458e-02,6.73988695438437e-03,4.49461447271476e-02,1.83006231120471e-02,0.100193656200903,3
S0013,67539017.9300001,14180929.56,11282830.98,16939391.23,14273499.19,1256806.76,6799596.73,5170143.13,13925406.75,3520 Riverside Plaza Dr,Riverside,CA,92506,151367622.26,0.446191972375639,9.1997261647413e-02,7.45392628327067e-02,0.111908947085815,9.42969109039898e-02,8.30300919863308e-03,4.49210777607414e-02,3.41562023159707e-02,9.36853558790914e-02,3
